Age,Workclass,FinalWeight,Education,EducationNum,MaritalStatus,Occupation,Relationship,Race,Gender,CapitalGain,CapitalLoss,HoursPerWeek,NativeCountry,Income
,****,****,,****,Single,Other-service,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Machine-op-inspct,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Adm-clerical,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Tech-support,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Prof-specialty,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Adm-clerical,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Single,Other-service,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Adm-clerical,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Other-service,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Married,Exec-managerial,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Transport-moving,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Prof-specialty,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Exec-managerial,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Prof-specialty,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Exec-managerial,****,Non-White,****,****,****,****,****,>50K
,****,****,,****,Single,Prof-specialty,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Sales,****,Non-White,****,****,****,****,****,>50K
,****,****,,****,Single,Sales,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Adm-clerical,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Prof-specialty,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Other-service,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Adm-clerical,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Sales,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Adm-clerical,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Married,Other-service,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Sales,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Craft-repair,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Transport-moving,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Farming-fishing,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Married,Farming-fishing,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Prof-specialty,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Other-service,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Single,Other-service,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Married,Exec-managerial,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Handlers-cleaners,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Adm-clerical,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Machine-op-inspct,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Sales,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Other-service,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Prof-specialty,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Adm-clerical,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Adm-clerical,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Married,Machine-op-inspct,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Single,Prof-specialty,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Exec-managerial,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Adm-clerical,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Exec-managerial,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Married,Sales,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Machine-op-inspct,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Other-service,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Transport-moving,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Single,Handlers-cleaners,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Sales,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Machine-op-inspct,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Adm-clerical,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Adm-clerical,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Prof-specialty,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Adm-clerical,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Prof-specialty,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Exec-managerial,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Adm-clerical,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Sales,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Sales,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Machine-op-inspct,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Exec-managerial,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Single,Exec-managerial,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Handlers-cleaners,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Single,Adm-clerical,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Other-service,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Prof-specialty,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Handlers-cleaners,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Prof-specialty,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Other-service,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Other-service,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Prof-specialty,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Craft-repair,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Exec-managerial,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Tech-support,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Adm-clerical,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Single,Sales,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Other-service,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Prof-specialty,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Machine-op-inspct,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Sales,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Prof-specialty,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Craft-repair,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Exec-managerial,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Sales,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Protective-serv,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Sales,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Prof-specialty,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Adm-clerical,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Machine-op-inspct,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Adm-clerical,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Other-service,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Sales,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Prof-specialty,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Single,Adm-clerical,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Machine-op-inspct,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Adm-clerical,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Married,Craft-repair,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Single,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Craft-repair,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Sales,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Other-service,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Other-service,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Single,Machine-op-inspct,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Sales,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Sales,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Prof-specialty,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Adm-clerical,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Machine-op-inspct,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Prof-specialty,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Sales,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Single,Other-service,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Married,Transport-moving,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Adm-clerical,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Exec-managerial,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Married,Other-service,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Prof-specialty,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Prof-specialty,****,Non-White,****,****,****,****,****,>50K
,****,****,,****,Married,Machine-op-inspct,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Prof-specialty,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Sales,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Other-service,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Other-service,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Transport-moving,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Married,Prof-specialty,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Prof-specialty,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Exec-managerial,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Handlers-cleaners,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Machine-op-inspct,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Exec-managerial,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Exec-managerial,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Protective-serv,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Adm-clerical,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Other-service,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Married,Sales,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Prof-specialty,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Protective-serv,****,Non-White,****,****,****,****,****,<=50K
,****,****,,****,Married,Sales,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Sales,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Exec-managerial,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Sales,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Other-service,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Sales,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Adm-clerical,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Prof-specialty,****,Non-White,****,****,****,****,****,>50K
,****,****,,****,Married,Protective-serv,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Tech-support,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Sales,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Transport-moving,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Craft-repair,****,Non-White,****,****,****,****,****,>50K
,****,****,,****,Single,Exec-managerial,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Craft-repair,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Adm-clerical,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Sales,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Transport-moving,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Exec-managerial,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Farming-fishing,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Transport-moving,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Machine-op-inspct,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Priv-house-serv,****,White,****,****,****,****,****,<=50K
,****,****,,****,Single,Machine-op-inspct,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Tech-support,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Craft-repair,****,White,****,****,****,****,****,>50K
,****,****,,****,Married,Exec-managerial,****,White,****,****,****,****,****,>50K
,****,****,,****,Single,Craft-repair,****,White,****,****,****,****,****,<=50K
,****,****,,****,Married,Exec-managerial,****,White,****,****,****,****,****,>50K
